iter	MultiClass
0	0.6795895473
1	0.6669402899
2	0.6555730545
3	0.6429496549
4	0.6317763046
5	0.6215139004
6	0.6124026396
7	0.6055178571
8	0.5983443892
9	0.5902450047
10	0.5848306892
11	0.577943733
12	0.5726055434
13	0.5669241708
14	0.5611872541
15	0.5547551877
16	0.5485419943
17	0.542283522
18	0.5371483598
19	0.5320095089
20	0.5274253498
21	0.5234981553
22	0.519988447
23	0.5163033974
24	0.5122610097
25	0.5080275541
26	0.5036186535
27	0.4984812279
28	0.4954209556
29	0.491759114
30	0.4883837533
31	0.4856696756
32	0.4821236194
33	0.4798537305
34	0.4762434446
35	0.4728758041
36	0.4697891684
37	0.4660870349
38	0.4625093778
39	0.460319919
40	0.4575267537
41	0.4549686718
42	0.4519496847
43	0.448615648
44	0.4464223041
45	0.4438093975
46	0.4417971506
47	0.439174454
48	0.4364152949
49	0.4345378305
50	0.4321540651
51	0.4286824604
52	0.4269131054
53	0.425302074
54	0.4236473237
55	0.4213768306
56	0.4197997226
57	0.4175780137
58	0.4155316274
59	0.4140167735
60	0.412311719
61	0.4102520865
62	0.408366598
63	0.4065851761
64	0.4041305958
65	0.4025094819
66	0.4013564653
67	0.4001138171
68	0.3983407418
69	0.3969628433
70	0.3951887125
71	0.3933274412
72	0.3915439532
73	0.3902886957
74	0.3883746818
75	0.3866620736
76	0.3858324388
77	0.384006332
78	0.3822544373
79	0.3806248276
80	0.3791066086
81	0.3775627399
82	0.3761255669
83	0.3744813907
84	0.373053746
85	0.3719460039
86	0.3706383643
87	0.3696712358
88	0.3680627371
89	0.3671121716
90	0.3651597107
91	0.363698421
92	0.3627188962
93	0.3614051764
94	0.3602247731
95	0.3589957636
96	0.3581725454
97	0.3565683808
98	0.3558529762
99	0.3547763049
100	0.3536986591
101	0.3525996344
102	0.3515308202
103	0.350293479
104	0.3491172582
105	0.3483589681
106	0.3470545686
107	0.3460586693
108	0.3450062446
109	0.3441627855
110	0.3430660756
111	0.3420483617
112	0.3406842232
113	0.3392368809
114	0.3383066941
115	0.3372910362
116	0.3359616852
117	0.3348619057
118	0.3343795038
119	0.3333326259
120	0.3326135914
121	0.3313123665
122	0.3301393862
123	0.3288451214
124	0.3278694265
125	0.3270538453
126	0.3260475421
127	0.3245789887
128	0.3230039629
129	0.3217995036
130	0.3204640443
131	0.3195624632
132	0.3184147874
133	0.3172290717
134	0.3163181451
135	0.3154125925
136	0.3146229848
137	0.3132444419
138	0.3124203872
139	0.3111409382
140	0.3102278245
141	0.3088829829
142	0.3076449718
143	0.3063979974
144	0.3051545809
145	0.304240819
146	0.3032144773
147	0.3021025658
148	0.3015373968
149	0.3010199391
150	0.2998505709
151	0.2991685273
152	0.2980333951
153	0.2967485041
154	0.2956353609
155	0.2949948493
156	0.2938784388
157	0.2930029004
158	0.2920386045
159	0.291014288
160	0.290296019
161	0.2891845839
162	0.2887079134
163	0.2879290341
164	0.2868828799
165	0.2859937732
166	0.2850020969
167	0.2840545292
168	0.2832886795
169	0.2824411428
170	0.2816955224
171	0.2803336492
172	0.2798192858
173	0.2791537276
174	0.2781712785
175	0.2774654382
176	0.2763304769
177	0.2757725555
178	0.2748048862
179	0.2736853689
180	0.2733109022
181	0.2723469359
182	0.2717198225
183	0.2706088438
184	0.2694099265
185	0.268611898
186	0.2676256963
187	0.2668789636
188	0.2660710273
189	0.2652272115
190	0.2640824202
191	0.263415115
192	0.2624698174
193	0.2614833714
194	0.2608962613
195	0.2601586277
196	0.2596162826
197	0.2586100797
198	0.2579363178
199	0.2571905877
200	0.2561539362
201	0.2555819172
202	0.2549718288
203	0.2539905387
204	0.2532307547
205	0.2525500238
206	0.2514754615
207	0.2507797773
208	0.250180098
209	0.2493202066
210	0.2485100935
211	0.2478993011
212	0.2470254152
213	0.2462341705
214	0.2455069373
215	0.2449604692
216	0.2443542425
217	0.243717329
218	0.2432440692
219	0.2425324928
220	0.242089294
221	0.2412657254
