iter	Passed	Remaining
0	7	3760
1	14	3704
2	22	3666
3	30	3750
4	38	3822
5	46	3831
6	54	3842
7	62	3825
8	70	3826
9	78	3853
10	86	3835
11	94	3832
12	101	3813
13	109	3809
14	117	3802
15	126	3827
16	134	3824
17	143	3837
18	151	3827
19	159	3826
20	166	3806
21	174	3786
22	181	3769
23	189	3757
24	196	3738
25	205	3742
26	213	3736
27	222	3742
28	229	3733
29	237	3720
30	245	3719
31	254	3719
32	262	3707
33	271	3723
34	282	3749
35	290	3745
36	302	3783
37	311	3783
38	321	3804
39	332	3819
40	340	3809
41	350	3826
42	358	3809
43	369	3827
44	378	3831
45	389	3841
46	398	3845
47	407	3838
48	418	3855
49	426	3841
50	436	3846
51	448	3864
52	456	3848
53	465	3841
54	473	3832
55	481	3817
56	489	3802
57	497	3794
58	505	3777
59	512	3761
60	520	3747
61	528	3735
62	536	3723
63	545	3713
64	553	3706
65	561	3689
66	568	3672
67	575	3659
68	583	3647
69	591	3633
70	599	3621
71	607	3608
72	615	3601
73	623	3588
74	630	3573
75	638	3559
76	645	3543
77	652	3531
78	660	3520
79	668	3508
80	676	3500
81	684	3487
82	691	3476
83	699	3466
84	707	3454
85	715	3442
86	722	3430
87	730	3418
88	737	3406
89	745	3394
90	753	3385
91	760	3374
92	768	3361
93	775	3348
94	783	3338
95	790	3324
96	796	3310
97	804	3302
98	812	3290
99	819	3277
100	826	3265
101	835	3258
102	842	3246
103	849	3235
104	857	3227
105	865	3216
106	873	3206
107	880	3195
108	887	3184
109	896	3176
110	903	3166
111	914	3167
112	925	3168
113	933	3161
114	964	3228
115	995	3293
116	1009	3305
117	1018	3297
118	1027	3289
119	1033	3273
120	1042	3266
121	1049	3252
122	1060	3251
123	1068	3238
124	1078	3235
125	1086	3223
126	1095	3216
127	1104	3209
128	1112	3199
129	1120	3188
130	1127	3175
131	1134	3163
132	1142	3151
133	1150	3141
134	1157	3130
135	1165	3119
136	1172	3107
137	1181	3098
138	1188	3086
139	1196	3077
140	1204	3066
141	1212	3057
142	1220	3047
143	1229	3039
144	1237	3029
145	1245	3019
146	1252	3008
147	1261	2999
148	1268	2987
149	1275	2976
150	1283	2966
151	1290	2955
152	1299	2946
153	1306	2935
154	1314	2925
155	1321	2913
156	1328	2902
157	1336	2893
158	1351	2898
159	1358	2885
160	1365	2874
161	1372	2863
162	1378	2850
163	1386	2840
164	1394	2830
165	1402	2821
166	1410	2811
167	1419	2804
168	1426	2793
169	1434	2785
170	1442	2775
171	1452	2769
172	1460	2761
173	1472	2757
174	1481	2751
175	1488	2740
176	1496	2730
177	1503	2719
178	1511	2710
179	1519	2701
180	1527	2691
181	1535	2682
182	1543	2673
183	1551	2664
184	1559	2655
185	1567	2646
186	1575	2636
187	1583	2627
188	1590	2617
189	1597	2607
190	1606	2598
191	1613	2589
192	1621	2579
193	1629	2570
194	1637	2560
195	1645	2552
196	1652	2541
197	1660	2532
198	1667	2522
199	1675	2513
200	1683	2504
201	1690	2494
202	1697	2483
203	1705	2474
204	1713	2465
205	1720	2456
206	1730	2449
207	1738	2439
208	1745	2430
209	1753	2420
210	1761	2412
211	1768	2402
212	1776	2394
213	1785	2385
214	1792	2376
215	1800	2367
216	1807	2357
217	1814	2347
218	1821	2337
219	1829	2328
220	1836	2319
221	1845	2310
222	1852	2300
223	1860	2292
224	1869	2285
225	1878	2277
226	1886	2269
227	1897	2263
228	1905	2254
229	1912	2245
230	1920	2236
231	1929	2228
232	1938	2221
233	1946	2212
234	1954	2204
235	1963	2196
236	1971	2187
237	1979	2179
238	1987	2170
239	1995	2161
240	2002	2152
241	2011	2144
242	2019	2135
243	2027	2127
244	2035	2119
245	2044	2110
246	2050	2100
247	2058	2092
248	2066	2082
249	2074	2074
250	2082	2065
251	2090	2057
252	2098	2048
253	2106	2040
254	2114	2031
255	2123	2023
256	2131	2015
257	2146	2012
258	2153	2003
259	2160	1994
260	2167	1985
261	2176	1977
262	2184	1968
263	2192	1960
264	2200	1951
265	2207	1942
266	2215	1933
267	2223	1925
268	2230	1915
269	2237	1905
270	2244	1896
271	2251	1886
272	2259	1878
273	2267	1870
274	2275	1861
275	2282	1852
276	2290	1843
277	2298	1835
278	2306	1826
279	2313	1818
280	2321	1809
281	2328	1800
282	2336	1791
283	2344	1783
284	2352	1774
285	2360	1766
286	2367	1756
287	2376	1749
288	2384	1740
289	2392	1732
290	2398	1722
291	2406	1714
292	2415	1706
293	2422	1697
294	2429	1688
295	2437	1680
296	2445	1671
297	2454	1663
298	2464	1656
299	2474	1649
300	2481	1640
301	2488	1631
302	2496	1623
303	2504	1614
304	2512	1606
305	2521	1598
306	2530	1590
307	2539	1582
308	2546	1574
309	2554	1565
310	2562	1557
311	2570	1548
312	2577	1540
313	2585	1531
314	2592	1522
315	2600	1514
316	2607	1505
317	2615	1496
318	2622	1487
319	2629	1479
320	2637	1470
321	2644	1461
322	2651	1453
323	2659	1444
324	2667	1436
325	2675	1427
326	2682	1419
327	2690	1410
328	2698	1402
329	2706	1394
330	2714	1386
331	2722	1377
332	2730	1369
333	2737	1360
334	2745	1352
335	2752	1343
336	2760	1335
337	2768	1326
338	2775	1318
339	2782	1309
340	2792	1301
341	2799	1293
342	2806	1284
343	2814	1276
344	2822	1267
345	2829	1259
346	2837	1251
347	2844	1242
348	2852	1233
349	2860	1225
350	2867	1217
351	2875	1208
352	2882	1200
353	2890	1192
354	2898	1183
355	2905	1175
356	2914	1167
357	2922	1159
358	2930	1151
359	2938	1142
360	2945	1134
361	2953	1125
362	2961	1117
363	2967	1108
364	2976	1100
365	2983	1092
366	2991	1084
367	3000	1076
368	3008	1068
369	3015	1059
370	3022	1051
371	3030	1042
372	3038	1034
373	3046	1026
374	3055	1018
375	3064	1010
376	3072	1002
377	3079	993
378	3087	985
379	3096	977
380	3104	969
381	3111	961
382	3119	952
383	3127	944
384	3135	936
385	3144	928
386	3152	920
387	3159	912
388	3166	903
389	3174	895
390	3182	887
391	3190	878
392	3197	870
393	3204	862
394	3212	853
395	3219	845
396	3226	837
397	3234	828
398	3242	820
399	3249	812
400	3256	804
401	3265	796
402	3275	788
403	3284	780
404	3291	772
405	3299	763
406	3307	755
407	3314	747
408	3322	739
409	3330	731
410	3338	722
411	3347	715
412	3355	706
413	3362	698
414	3369	690
415	3376	681
416	3383	673
417	3391	665
418	3400	657
419	3408	649
420	3416	641
421	3425	633
422	3433	625
423	3440	616
424	3448	608
425	3455	600
426	3464	592
427	3471	584
428	3479	575
429	3488	567
430	3496	559
431	3503	551
432	3512	543
433	3519	535
434	3529	527
435	3536	519
436	3544	511
437	3553	502
438	3561	494
439	3569	486
440	3578	478
441	3585	470
442	3593	462
443	3600	454
444	3608	445
445	3616	437
446	3623	429
447	3631	421
448	3638	413
449	3645	405
450	3652	396
451	3659	388
452	3667	380
453	3674	372
454	3682	364
455	3688	355
456	3696	347
457	3706	339
458	3713	331
459	3721	323
460	3728	315
461	3737	307
462	3745	299
463	3753	291
464	3760	283
465	3768	274
466	3776	266
467	3784	258
468	3792	250
469	3799	242
470	3808	234
471	3816	226
472	3823	218
473	3831	210
474	3838	202
475	3846	193
476	3855	185
477	3863	177
478	3870	169
479	3879	161
480	3887	153
481	3895	145
482	3903	137
483	3910	129
484	3917	121
485	3926	113
486	3934	105
487	3941	96
488	3949	88
489	3956	80
490	3965	72
491	3972	64
492	3980	56
493	3989	48
494	3997	40
495	4006	32
496	4013	24
497	4022	16
498	4028	8
499	4036	0
